02/26/2020;UTC time;;;;;;;;;;;;
;;;;;;;;;;;;;
;EUR=;GBP=;;CAD=;;AUD=;;BTC=;;LTC=;;BCH=;
;;;;;;;;;;;;;
#NAME?;;#NAME?;;#NAME?;;#NAME?;;#NAME?;;#NAME?;;#NAME?;
Timestamp;Mid Price Close;Timestamp;Mid Price Close;Timestamp;Mid Price Close;Timestamp;Mid Price Close;Timestamp;Mid Price Close;Timestamp;Mid Price Close;Timestamp;Mid Price Close
02/25/2020 21:00:00;1.0877;02/25/2020 21:00:00;1.30005;02/25/2020 21:00:00;1.32725;02/25/2020 21:00:00;0.66005;02/25/2020 21:00:00;9345.125;02/25/2020 21:00:00;70.68;02/25/2020 21:00:00;348.43
02/25/2020 20:00:00;1.0882;02/25/2020 20:00:00;1.29995;02/25/2020 20:00:00;1.327;02/25/2020 20:00:00;0.66;02/25/2020 20:00:00;9341.625;02/25/2020 20:00:00;70.77;02/25/2020 20:00:00;348.575
02/25/2020 19:00:00;1.0877;02/25/2020 19:00:00;1.30055;02/25/2020 19:00:00;1.3279;02/25/2020 19:00:00;0.6601;02/25/2020 19:00:00;9380.635;02/25/2020 19:00:00;71.295;02/25/2020 19:00:00;352.065
02/25/2020 18:00:00;1.0882;02/25/2020 18:00:00;1.3011;02/25/2020 18:00:00;1.3283;02/25/2020 18:00:00;0.66045;02/25/2020 18:00:00;9346.05;02/25/2020 18:00:00;70.25;02/25/2020 18:00:00;349.25
02/25/2020 17:00:00;1.0869;02/25/2020 17:00:00;1.3003;02/25/2020 17:00:00;1.3287;02/25/2020 17:00:00;0.65965;02/25/2020 17:00:00;9316.25;02/25/2020 17:00:00;70;02/25/2020 17:00:00;348.38
02/25/2020 16:00:00;1.0865;02/25/2020 16:00:00;1.3016;02/25/2020 16:00:00;1.3285;02/25/2020 16:00:00;0.66055;02/25/2020 16:00:00;9383.905;02/25/2020 16:00:00;72.02;02/25/2020 16:00:00;355.51
02/25/2020 15:00:00;1.0836;02/25/2020 15:00:00;1.2983;02/25/2020 15:00:00;1.3276;02/25/2020 15:00:00;0.6595;02/25/2020 15:00:00;9404.755;02/25/2020 15:00:00;72.115;02/25/2020 15:00:00;356.72
02/25/2020 14:00:00;1.0841;02/25/2020 14:00:00;1.2969;02/25/2020 14:00:00;1.32855;02/25/2020 14:00:00;0.6589;02/25/2020 14:00:00;9578.525;02/25/2020 14:00:00;74.375;02/25/2020 14:00:00;367.16
02/25/2020 13:00:00;1.0836;02/25/2020 13:00:00;1.2954;02/25/2020 13:00:00;1.32825;02/25/2020 13:00:00;0.65925;02/25/2020 13:00:00;9623.485;02/25/2020 13:00:00;74.855;02/25/2020 13:00:00;371.51
02/25/2020 12:00:00;1.08375;02/25/2020 12:00:00;1.29645;02/25/2020 12:00:00;1.3294;02/25/2020 12:00:00;0.65975;02/25/2020 12:00:00;9629.81;02/25/2020 12:00:00;75.085;02/25/2020 12:00:00;373.37
02/25/2020 11:00:00;1.0838;02/25/2020 11:00:00;1.29715;02/25/2020 11:00:00;1.3299;02/25/2020 11:00:00;0.66005;02/25/2020 11:00:00;9561.225;02/25/2020 11:00:00;73.96;02/25/2020 11:00:00;367.415
02/25/2020 10:00:00;1.0851;02/25/2020 10:00:00;1.2994;02/25/2020 10:00:00;1.3299;02/25/2020 10:00:00;0.6597;02/25/2020 10:00:00;9570.655;02/25/2020 10:00:00;74.06;02/25/2020 10:00:00;368.265
02/25/2020 09:00:00;1.0864;02/25/2020 09:00:00;1.2978;02/25/2020 09:00:00;1.3289;02/25/2020 09:00:00;0.66085;02/25/2020 09:00:00;9568.35;02/25/2020 09:00:00;73.955;02/25/2020 09:00:00;367.725
02/25/2020 08:00:00;1.0854;02/25/2020 08:00:00;1.29545;02/25/2020 08:00:00;1.32825;02/25/2020 08:00:00;0.66095;02/25/2020 08:00:00;9530.35;02/25/2020 08:00:00;73.815;02/25/2020 08:00:00;366.35
02/25/2020 07:00:00;1.0852;02/25/2020 07:00:00;1.2938;02/25/2020 07:00:00;1.3287;02/25/2020 07:00:00;0.6619;02/25/2020 07:00:00;9549.145;02/25/2020 07:00:00;73.445;02/25/2020 07:00:00;367.105
02/25/2020 06:00:00;1.0851;02/25/2020 06:00:00;1.29325;02/25/2020 06:00:00;1.32955;02/25/2020 06:00:00;0.661;02/25/2020 06:00:00;9561.55;02/25/2020 06:00:00;73.49;02/25/2020 06:00:00;367.67
02/25/2020 05:00:00;1.0861;02/25/2020 05:00:00;1.29375;02/25/2020 05:00:00;1.32865;02/25/2020 05:00:00;0.66135;02/25/2020 05:00:00;9578.995;02/25/2020 05:00:00;74.19;02/25/2020 05:00:00;370.27
02/25/2020 04:00:00;1.08625;02/25/2020 04:00:00;1.29385;02/25/2020 04:00:00;1.3281;02/25/2020 04:00:00;0.66205;02/25/2020 04:00:00;9578.15;02/25/2020 04:00:00;74.495;02/25/2020 04:00:00;371.5
02/25/2020 03:00:00;1.0864;02/25/2020 03:00:00;1.29395;02/25/2020 03:00:00;1.3283;02/25/2020 03:00:00;0.66205;02/25/2020 03:00:00;9610.01;02/25/2020 03:00:00;74.78;02/25/2020 03:00:00;372.75
02/25/2020 02:00:00;1.08585;02/25/2020 02:00:00;1.29405;02/25/2020 02:00:00;1.32855;02/25/2020 02:00:00;0.6616;02/25/2020 02:00:00;9597.95;02/25/2020 02:00:00;74.245;02/25/2020 02:00:00;371.07
02/25/2020 01:00:00;1.0852;02/25/2020 01:00:00;1.29225;02/25/2020 01:00:00;1.32935;02/25/2020 01:00:00;0.66095;02/25/2020 01:00:00;9625.75;02/25/2020 01:00:00;75.305;02/25/2020 01:00:00;374.33
